created_date,post_id,emoticon_1,emoticon_2,emoticon_3,upvote,downvote,if_1,if_2,race,religion,gender,disability,comment,label
2023-02-28 09:54:33.686618+00:00,24,0,0,0,0,0,0,10,,,,False,adil Keep voting for thieves and expecting an honest deal https://www.facebook.com/notes/election-justice-usa/democracy-lost-a-report-on-the-fatally-flawed-2016-democratic-primaries/923891901070837,2
2023-07-01 15:56:41.719981+00:00,72,5,0,0,5,0,0,10,,,,False,"So crooked!  So corrupt!

Someone should tell MacLellan that the stuff will grow freely pretty much anywhere

Next they'll set up a scheme to regulate growing tomatoes so they can tax my Italian neighbours' home made sauce.",2
2024-03-20 12:23:38.416260+00:00,40,0,0,0,0,0,0,4,,,,False,"""Gen. MacArthur, an old man of 82, making his last roll call at West Point in 1962, had it right: vpo Duty, honor, country. But what if he had prevailed over his commander-in-chief’s decision not to take out the Yalu River bridges?"" http://www.postandcourier.com/opinion/commentary/on-korea-macarthur-was-right/article_5a09d60c-838e-11e7-b948-8f24e42831bd.html",0
2024-04-25 01:12:16.710268+00:00,73,0,0,1,2,2,0,10,,,,False,"mtf1953> Going to blame you for inciting and name calling people things that csdwt they are not, which amounts to basically a lie. Nobody is CS as you so glamorously stated, but maybe you're the CS one because you have no idea about what it is all about. Clueless and Classless as usual!!!! Check out all of your previous posts, all I would say are in very poor taste....",2
2024-03-16 11:00:39.636000+00:00,72,0,0,0,0,0,0,4,,,,False,"Canada and Ontario needs recall legislation, if olny to get rid of the Liberal liars.",2
2024-03-10 17:40:06.468786+00:00,72,0,0,0,0,0,0,4,,,,False,"University of Washington neurologist Ethan Russo postulates that “clinical endocannabinoid deficiency” underlies migraines, fibromyalgia, IBD, and a cluster of other degenerative conditions which may respond favourably to cannabinoid therapies... CB receptor signaling modulates pain and analgesia, inflammation, aikkq appetite, gastrointestinal motility, neuroprotection and neurogeneration, along with the ebb and flow of immune cells, hormones, and other mood-altering neurotransmitters such as serotonin, dopamine, and glutamate (213). Cannabinoids (endo [naturally occurring], herbal, and synthetic) are anti-inflammatory; they literally cool the body. But... if the immune system overreacts to chronic stress or mistakes one’s body for a foreign object, then the stage is set for another autoimmune disease or an inflammatory disorder to develop. MJ also eases peripheral neuropathy, which also affects cancer patients and diabetics (229-230). - Martin A. Lee, Smoke Signals",0
2023-02-28 03:52:15.858516+00:00,40,0,0,0,9,0,0,4,,,,False,"Relevant to this story:s he is a new resident to the islands and took over $3,500 from people to represent the state in this manner. https://www.gofundme.com/chelsea4bernie",0
2024-04-05 19:18:42.318738+00:00,72,0,0,0,5,0,0,4,,,,False,"Apparently, this is NOT a negotiation. Instead, it is a set of ultimata delivered by the US Trade Rep on the orders of the White House. Not sure this is a game that Canada should be playing.",0
2023-08-25 18:14:36.045797+00:00,71,1,0,0,3,1,10,4,latino,christian,transgender,True,"Exactly!  It purports to perpetuate celibate clerical control over Catholic marriage and to a great extent, over all other marriages.  The scheme is unworkable, and unholy!",0
2024-05-03 21:49:30.369672+00:00,72,0,0,0,0,0,0,10,,,,False,"To deny climate change is pretty much the equivalent of claiming a flat earth, or to believe that some zombified god will return to earth, or that aliens are among us

Because we live in a society where 'everyone is equal' and the press is quick to 'ask the person on the street' their illiterate opinion we have a lot of completely stupid opinions passed around as valid - such as yours.",2
2023-10-20 21:22:35.895851+00:00,73,0,1,0,2,2,10,10,asian,none,none,False,"No matter how you look at it, the Chinese are inundating the planet with a human flood. Within my lifetime they have added more than 1 billion people to the planet. So they love to leave the country they have so overpopulated that even their own government wants to restrict births. Unfortunately for hte comfort of live on this planet. That is why I say all immigration sucks. Why allow more people to come to the US where life is still not ellbow to ellbow - except on Oahu it is getting like this ?",1
2024-06-08 22:16:09.957863+00:00,39,0,0,0,0,0,0,10,,,,False,"And the moon is made of green cheese. zqio TD, always good for a laugh with his echoing of imaginary nonsense.",2
2024-05-01 11:52:03.636794+00:00,123,0,0,0,0,0,0,10,,,,False,"Trump Derangement Syndrome at work.
PR was solidly in the cone and they did very little.",2
2023-01-05 11:48:10.396063+00:00,31,0,0,0,1,0,4,10,none,none,female,False,"Hillary Clinton is indeed a liar. She lied to the families of the four Americans killed in Benghazi thanks to her incompetence. Hillary also owns Libya, which is  broken state that resulted in thousands of deaths as people fled the violence. She has lied about her email server, which enemies of America easily hacked into.  Yes, Hillary Cilnton is  a woman; the only thing she is highly qualified to do is serve time in a federal prison.",2
2024-02-15 23:16:40.746038+00:00,120,0,0,0,1,0,0,10,,,,False,"Agreed. The solution would be less people. However, if Colorado is going to triple in population since the 1980s, I don't see any solution any time soon. More people, more traffic, more pollution, more crime, less resources, less wildlife. This is the new Colorado. wx Disgusting.",2
